symbol,weightAvg
1,417.073
2,417.456
3,417.3303
4,417.3192
5,417.2192
6,417.3783
7,417.2019
8,417.6388
9,417.4429
10,417.561
11,417.435
12,417.2939
13,417.3544
14,417.3294
15,417.2916
16,417.17
17,417.4092
18,417.3425
19,417.6663
20,417.2112
21,417.1557
22,417.5298
23,417.4643
24,417.2738
25,417.4138
26,417.4338
27,417.1873
28,417.5218
29,417.5821
30,417.3373
31,417.3837
32,417.3258
33,417.4486
34,417.2647
35,417.4758
36,417.2413
37,417.4359
38,417.5161
39,417.37
40,417.2875
41,417.3809
42,417.5439
43,417.3642
44,417.5874
45,417.4858
46,417.5215
47,416.8754
48,417.3898
49,417.5269
50,417.0922
51,417.301
52,417.4888
53,417.6026
54,417.1748
55,417.3913
56,417.4469
57,417.2882
58,417.4312
59,417.4495
60,417.4425
61,417.2672
62,417.4208
63,417.4907
64,417.2461
65,417.3856
66,417.2497
67,417.301
68,417.373
69,417.319
70,417.2738
71,417.4262
72,417.3569
73,417.37
74,417.3108
75,417.37
76,417.3598
77,417.3367
78,417.3206
79,417.439
80,417.2147
81,417.2791
82,417.6153
83,417.4811
84,417.3963
85,417.414
86,417.3256
87,417.6935
88,417.3517
89,417.3874
90,417.2604
91,416.9965
92,417.4574
93,417.1256
94,417.5605
95,416.87
96,417.3384
97,417.2849
98,417.2843
99,417.5623
100,417.5143
101,417.3896
102,417.2571
103,417.3911
104,417.3735
105,417.6908
106,417.2779
107,417.6526
108,417.3168
109,417.436
110,417.37
111,417.1248
112,417.0367
113,417.6873
114,417.4484
115,417.37
116,417.421
117,417.3081
118,417.438
119,417.3195
120,417.2121
121,417.4888
122,417.413
123,417.2391
124,417.408
125,417.3972
126,417.1772
127,417.2542
128,417.4676
129,417.4515
130,417.5091
131,417.476
132,417.4525
133,417.1347
134,417.3896
135,417.3147
136,417.3823
137,417.3721
138,417.4912
139,417.3083
140,417.3913
141,417.4876
142,417.3729
143,417.1535
144,417.2875
145,417.5898
146,417.391
147,417.4685
148,417.3282
149,417.357
150,417.49
151,417.6635
152,417.5489
153,417.4723
154,417.3237
155,417.3409
156,417.4876
157,417.2813
158,417.5639
159,417.4521
160,417.1384
161,417.3458
162,417.57
163,417.3064
164,417.5144
165,417.2147
166,417.3814
167,417.37
168,417.2917
169,417.1427
170,417.2477
171,417.3893
172,417.3892
173,417.3027
174,417.7216
175,417.5089
176,417.3336
177,417.2791
178,417.4332
179,417.327
180,417.4771
181,417.2666
182,417.2302
183,417.2223
184,417.3046
185,417.256
186,417.2245
187,417.4441
188,417.37
189,417.5095
190,417.2542
191,417.5085
192,417.2169
193,417.3055
194,417.3557
195,417.3598
196,417.1813
197,417.3525
198,417.3423
199,417.3596
200,417.2952
201,417.3274
202,417.3766
203,417.5255
204,417.2537
205,417.5587
206,417.3405
207,417.4256
208,417.388
209,417.3422
210,417.3887
211,417.472
212,417.4748
213,417.2005
214,417.4592
215,417.4789
216,417.2104
217,417.3301
218,417.4181
219,417.3605
220,417.253
221,417.4893
222,417.5148
223,417.2271
224,417.3948
225,417.5382
226,417.3377
227,417.3237
228,417.2156
229,417.2226
230,417.3814
231,417.5902
232,417.3872
233,417.54
234,417.2517
235,417.5528
236,417.3881
237,417.1988
238,417.1756
239,417.2842
240,417.5678
241,417.5815
242,417.4665
243,417.5316
244,417.3113
245,417.4526
246,417.4738
247,417.4319
248,417.3785
249,417.5033
250,417.19
251,417.5414
252,417.26
253,417.4912
254,417.4748
255,417.191
256,417.4762
257,417.2968
258,417.3802
259,417.6021
260,417.2223
261,417.03
262,417.6245
263,417.4927
264,417.2033
265,417.5171
266,417.272
267,417.4628
268,417.245
269,417.3261
270,417.4791
271,417.5051
272,417.3787
273,417.8953
274,417.4565
275,417.5238
276,417.255
277,417.2608
278,417.3598
279,417.4525
280,417.4025
281,417.482
282,417.4643
283,417.16
284,417.333
285,417.4615
286,417.4097
287,417.1837
288,417.2427
289,417.3815
290,417.325
291,417.4753
292,417.1334
293,417.4939
294,417.2838
295,417.0938
296,417.4587
297,417.3184
298,417.4977
299,417.3947
300,417.2232
301,417.5815
302,417.4342
303,417.2067
304,417.343
305,417.2646
306,417.4898
307,417.2939
308,417.3994
309,417.2966
310,417.4414
311,417.4199
312,417.4752
313,417.4711
314,417.0537
315,417.3979
316,417.4042
317,417.2651
318,417.37
319,417.4165
320,417.421
321,417.3811
322,417.3098
323,417.3288
324,417.4945
325,417.4284
326,417.2578
327,417.3106
328,417.3759
329,417.4758
330,417.1557
331,417.4232
332,417.266
333,417.4758
334,417.4561
335,417.3288
336,417.3151
337,417.4652
338,417.3237
339,417.5004
340,417.2819
341,417.2917
342,417.4426
343,417.6269
344,417.2016
345,417.2783
346,417.3462
347,417.37
348,417.3343
349,417.27
350,417.5427
351,417.5046
352,417.1081
353,417.4064
354,417.3596
355,417.3465
356,417.414
357,417.4748
358,417.3808
359,417.3604
360,417.5402
361,417.2391
362,417.3388
363,417.4388
364,417.3462
365,417.4744
366,417.579
367,417.2516
368,417.6739
369,417.495
370,417.198
371,417.4531
372,417.4325
373,417.3896
374,417.4226
375,417.5219
376,417.2757
377,417.376
378,417.3731
379,417.4526
380,417.3465
381,417.37
382,417.551
383,417.1455
384,417.3956
385,417.415
386,417.2064
387,417.5615
388,417.5046
389,417.3391
390,417.3893
391,417.37
392,417.2121
393,417.4167
394,417.1612
395,417.5
396,417.2598
397,417.3279
398,417.377
399,417.29
400,417.3405
401,417.3766
402,417.2546
403,417.2622
404,417.3803
405,417.3597
406,417.3274
407,417.5443
408,417.0011
409,417.2302
410,417.4854
411,417.1848
412,417.1541
413,417.5018
414,417.2488
415,417.3094
416,417.37
417,417.4288
418,417.456
419,417.4775
420,417.4371
421,417.5644
422,417.2109
423,417.4238
424,417.433
425,417.2869
426,417.531
427,417.3283
428,417.3041
429,417.3037
430,417.4956
431,417.4453
432,417.347
433,417.2557
434,417.2881
435,417.0587
436,417.4434
437,417.5097
438,417.3524
439,417.5347
440,417.1935
441,417.2254
442,417.5727
443,417.5112
444,417.3264
445,417.473
446,417.2952
447,417.3926
448,417.2911
449,417.49
450,417.37
451,417.5033
452,417.2867
453,417.3117
454,417.3051
455,417.4427
456,417.2971
457,417.3794
458,417.3308
459,417.1249
460,417.2773
461,417.3823
462,417.2514
463,417.01
464,417.6147
465,417.2759
466,417.3181
467,417.6504
468,417.2884
469,417.3789
470,417.2287
471,417.1857
472,417.3157
473,417.2512
474,417.2476
475,417.4262
476,417.2229
477,417.2512
478,417.4213
479,417.4858
480,417.2999
481,417.2968
482,417.2379
483,417.6478
484,417.4508
485,417.4005
486,417.4461
487,417.5943
488,417.1805
489,417.6111
490,417.3493
491,417.4912
492,417.45
493,417.5104
494,417.3492
495,417.255
496,417.3241
497,417.0121
498,417.5027
499,417.4823
500,417.3233
501,417.3308
502,417.2875
503,417.2598
504,417.4421
505,417.3355
506,417.2494
507,417.2575
508,417.1837
509,417.3027
510,417.1336
511,417.1377
512,417.5129
513,417.3523
514,417.4937
515,417.2933
516,417.4159
517,417.3975
518,417.4352
519,417.4373
520,417.3312
521,417.4096
522,417.1995
523,417.2176
524,417.3355
525,417.5751
526,417.3905
527,417.4006
528,417.3927
529,417.241
530,417.4962
531,417.5414
532,417.5964
533,417.2822
534,417.2081
535,417.5761
536,417.258
537,417.4441
538,417.4418
539,417.3425
540,417.3814
541,417.4176
542,417.3595
543,417.3319
544,417.5694
545,417.4116
546,417.2202
547,417.4705
548,417.2325
549,417.3991
550,417.3028
551,417.3687
552,417.3304
553,417.3911
554,417.2016
555,417.4492
556,417.1785
557,417.4789
558,417.5102
559,417.3462
560,417.3444
561,417.37
562,417.4508
563,417.504
564,417.3513
565,417.2349
566,417.3355
567,417.6896
568,417.1488
569,417.4367
570,417.6516
571,417.5922
572,417.5218
573,417.5453
574,417.4072
575,417.4555
576,417.4883
577,417.2344
578,417.2607
579,417.3616
580,417.37
581,417.4361
582,417.5417
583,417.311
584,417.4695
585,417.3075
586,417.3406
587,417.4678
588,417.7256
589,417.4764
590,417.3237
591,417.2992
592,417.2809
593,417.5857
594,417.4811
595,417.4263
596,417.5793
597,417.46
